feature,mean_importance,std_importance
grp_aches,0.36336765041639846,0.0012931872205824855
sleepdificulty,0.22902760433960165,0.0015521737437711035
health,0.08898536086012986,0.0017407230994536795
schoolpressure,0.07503582656326394,0.0012905686962001348
grp_fam_sup,0.055057555378010346,0.0014620701573777428
grp_talk_father,0.04793676361502913,0.002972352033731826
emcsocmed8,0.03599399911216215,0.001829255606561465
studaccept,0.020523737357351766,0.0007164191285979487
grp_been_bullied,0.01971221003929161,0.0009518248546446863
grp_talk_mother,0.01963274032990977,0.0008508831310530633
likeschool,0.017040692563639666,0.0008503515588444263
sex,0.015608709359265949,0.0004904450980737638
studhelpful,0.012077150065945683,0.0003898161800100049
