feature,mean_importance,std_importance,importance_share,cumulative_importance,selected_for_modelling
grp_aches,0.34909922562755324,0.0012714804721499595,0.34909922562755324,0.34909922562755324,True
sleepdificulty,0.22247117177612194,0.0015463671061931533,0.22247117177612194,0.5715703974036752,True
health,0.07791161131248299,0.001705625590224173,0.07791161131248299,0.6494820087161582,True
schoolpressure,0.06798527666541325,0.0012947748467918327,0.06798527666541325,0.7174672853815715,True
grp_fam_sup,0.044893320202120154,0.0016935049859979141,0.044893320202120154,0.7623606055836916,True
grp_talk_father,0.039921878236328104,0.0027860316448443927,0.039921878236328104,0.8022824838200197,True
emcsocmed8,0.03066200215574632,0.001680082979619412,0.03066200215574632,0.832944485975766,True
studaccept,0.014965109742156462,0.0006434146338988039,0.014965109742156462,0.8479095957179225,True
grp_talk_mother,0.014958968048103255,0.0007570717390140635,0.014958968048103255,0.8628685637660257,True
grp_been_bullied,0.014000355954730087,0.001008807028934655,0.014000355954730087,0.8768689197207558,True
sex,0.01161685828047582,0.000503431849747019,0.01161685828047582,0.8884857780012316,True
likeschool,0.010767223534359572,0.0007984524388444137,0.010767223534359572,0.8992530015355912,True
studhelpful,0.006524965474829366,0.00031986689490152417,0.006524965474829366,0.9057779670104206,True
age,0.005743252452267471,0.00025894095078591537,0.005743252452267471,0.911521219462688,False
grp_teacher,0.005711652829365636,0.00011435798095572521,0.005711652829365636,0.9172328722920536,False
physact60,0.004662283889648914,0.00013089256270712357,0.004662283889648914,0.9218951561817026,False
teachertrust,0.003916091005363406,0.00015768588795964255,0.003916091005363406,0.925811247187066,False
bodyheight,0.0038962052286833303,2.5976425899964405e-05,0.0038962052286833303,0.9297074524157493,False
famdec,0.0038544592221325335,0.00019414118594324157,0.0038544592221325335,0.9335619116378818,False
grp_online_pref,0.003719668590449127,0.00015190194357473467,0.003719668590449127,0.937281580228331,False
grp_friend,0.003689687458194898,0.00010475990656245392,0.003689687458194898,0.9409712676865258,False
bodyweight,0.0036590277262523265,0.00010256820620492877,0.0036590277262523265,0.9446302954127782,False
thinkbody,0.0036077396467338223,0.0001568168489128708,0.0036077396467338223,0.948238035059512,False
grp_online_contact,0.0035694958610517106,0.00013697010379878864,0.0035694958610517106,0.9518075309205637,False
timeexe,0.003414397471675737,7.433359044519054e-05,0.003414397471675737,0.9552219283922394,False
famhelp,0.00337505359763888,0.00024750871204651877,0.00337505359763888,0.9585969819898783,False
grp_bfast,0.0031934600858594805,6.461343421818926e-05,0.0031934600858594805,0.9617904420757378,False
grp_sweets,0.0029784710402812153,6.5400604207841e-05,0.0029784710402812153,0.9647689131160191,False
fmeal,0.0029690808895457737,8.511229237850514e-05,0.0029690808895457737,0.9677379940055648,False
friendhelp,0.0028954029820383994,8.885531636609616e-05,0.0028954029820383994,0.9706333969876032,False
grp_fruits,0.002814264264853701,3.529329699347477e-05,0.002814264264853701,0.9734476612524569,False
fasholidays,0.002574574157808724,0.00014823441073004046,0.002574574157808724,0.9760222354102656,False
grp_bully_others,0.0025095325286062053,6.512506625478415e-05,0.0025095325286062053,0.9785317679388718,False
studtogether,0.002467208091942487,0.00010232724259645775,0.002467208091942487,0.9809989760308142,False
fight12m,0.002270956265583171,3.872883953108047e-05,0.002270956265583171,0.9832699322963974,False
friendshare,0.0016228572242175069,5.392122304971984e-05,0.0016228572242175069,0.9848927895206149,False
fascomputers,0.0013433613544803669,2.4206516061258605e-05,0.0013433613544803669,0.9862361508750952,False
emcsocmed9,0.0013396698692648026,8.342085775258096e-05,0.0013396698692648026,0.98757582074436,False
fasfamcar,0.001173044104273411,4.488649574538096e-05,0.001173044104273411,0.9887488648486334,False
toothbr,0.0011659641285498565,4.288827315159128e-05,0.0011659641285498565,0.9899148289771833,False
injured12m,0.001163603314140364,3.986264611745894e-05,0.001163603314140364,0.9910784322913236,False
emcsocmed6,0.0011597154468930462,0.00010500097394459868,0.0011597154468930462,0.9922381477382167,False
emcsocmed3,0.0010096577994089797,3.356078246221822e-05,0.0010096577994089797,0.9932478055376257,False
employmo,0.0007588522457930289,3.308403609301343e-05,0.0007588522457930289,0.9940066577834187,False
emcsocmed4,0.0007076843282096601,5.2671512194742936e-05,0.0007076843282096601,0.9947143421116283,False
fasbathroom,0.0007065100854180279,2.532226340453877e-05,0.0007065100854180279,0.9954208521970463,False
fasbedroom,0.0006705890616096202,2.3938912527933222e-05,0.0006705890616096202,0.996091441258656,False
fatherhome1,0.0006693616516579833,2.4181487985210465e-05,0.0006693616516579833,0.996760802910314,False
employfa,0.0006623111880132845,3.22245931310443e-05,0.0006623111880132845,0.9974231140983273,False
emcsocmed7,0.0006321174315905382,2.6081370587657922e-05,0.0006321174315905382,0.9980552315299178,False
emcsocmed5,0.000619792574363976,2.9736694962421284e-05,0.000619792574363976,0.9986750241042818,False
fasdishwash,0.0004922835613258685,1.440238691049336e-05,0.0004922835613258685,0.9991673076656077,False
grp_else_home,0.00033463287722848036,1.0951034710238944e-05,0.00033463287722848036,0.9995019405428361,False
motherhome1,0.0002413109376316877,1.2934508405314955e-05,0.0002413109376316877,0.9997432514804678,False
stepfahome1,0.0001768556374955779,1.2834033113134497e-05,0.0001768556374955779,0.9999201071179634,False
stepmohome1,7.989288203640072e-05,1.0383789015381737e-05,7.989288203640072e-05,0.9999999999999998,False
