feature,feature_type,source_cols,new_group,aggregation_method,long_term_var,new_question,missing_source_cols
age,standalone,age,,raw,Y,,
sex,standalone,sex,,raw,Y,,
fasholidays,standalone,fasholidays,,raw,Y,,
health,standalone,health,,raw,N,,
grp_aches,grouped,"headache, stomachache, backache, dizzy",aches,take the most frequent out of all the symptoms,N,"In the last 6 months, how often have you had any of the following: headaches, stomachaches, backaches, felt dizzy?",
sleepdificulty,standalone,sleepdificulty,,raw,N,,
thinkbody,standalone,thinkbody,,raw,N,,
physact60,standalone,physact60,,raw,N,,
grp_bfast,grouped,"breakfastwd, breakfastwe",bfast,sum - 2,N,How often do you usually have breakfast (more than a glass of milk or fruit juice) in a week?,
grp_fruits,grouped,"fruits_2, vegetables_2",fruits,mean,N,How many times a week do you usually eat fruits or vegetables?,
grp_sweets,grouped,"sweets_2, softdrinks_2",sweets,mean,N,How many times a week do you usually eat sweets or drink soft drinks?,
fmeal,standalone,fmeal,,raw,N,,
timeexe,standalone,timeexe,,raw,N,,
bodyweight,standalone,bodyweight,,raw,Y,,
bodyheight,standalone,bodyheight,,raw,Y,,
likeschool,standalone,likeschool,,raw,N,,
schoolpressure,standalone,schoolpressure,,raw,N,,
studhelpful,standalone,studhelpful,,raw,N,,
studaccept,standalone,studaccept,,raw,N,,
grp_teacher,grouped,"teacheraccept, teachercare",teacher,mean,N,I feel that my teachers care about and accept me.,
teachertrust,standalone,teachertrust,,raw,N,,
grp_been_bullied,grouped,"beenbullied, cbeenbullied",been bullied,take the most frequent,N,How often have you been bullied at school in the past couple of months?,
friendhelp,standalone,friendhelp,,raw,N,,
grp_friend,grouped,"friendcounton, friendtalk",friend,mean,N,I can count on my friends when things go wrong or to talk about my problems with.,
grp_online_contact,grouped,"emconlfreq1, emconlfreq2, emconlfreq3",online contact,mean,N,How often do you have ONLINE contact with friends?,
grp_online_pref,grouped,"emconlpref1, emconlpref2, emconlpref3",online pref,mean,N,"On the internet, I talk more
easily about my thoughts/feelings
than in a face-to-face encounter",
emcsocmed8,standalone,emcsocmed8,,raw,N,,
grp_talk_father,grouped,talkfather,talk father,raw,N,,
grp_talk_mother,grouped,talkmother,talk mother,raw,N,,
grp_fam_sup,grouped,"famsup, famtalk",fam sup,mean,N,I get the emotional help and support I need (eg. talking about my problems) from my family.,
famdec,standalone,famdec,,raw,N,,
