model,run,seed,distress_cutoff,decision_cutoff,positive_rate,roc_auc,tp,fn,fp,tn,fnr,tpr,fpr
ElasticNet,1,11,35,35,0.4342148869887983,0.822906802756027,9346,3756,3945,13127,0.28667379026102885,0.7133262097389711,0.23108013120899717
ElasticNet,1,11,60,60,0.17220123284947306,0.8558880698771656,1518,3678,567,24411,0.707852193995381,0.2921478060046189,0.0226999759788614
ElasticNet,2,23,35,35,0.4381918207728508,0.8237967605544522,9460,3762,3871,13081,0.28452579034941766,0.7154742096505824,0.22835063709296838
ElasticNet,2,23,60,60,0.17226751507920726,0.8527822531099652,1471,3727,598,24378,0.717006540977299,0.28299345902270107,0.02394298526585522
ElasticNet,3,37,35,35,0.43935175979319946,0.8293018986080486,9492,3765,3743,13174,0.2840009051821679,0.7159990948178321,0.2212567240054383
ElasticNet,3,37,60,60,0.17269834957247962,0.8586560844649966,1530,3681,610,24353,0.7063903281519862,0.29360967184801384,0.024436165524976967
ElasticNet,4,49,35,35,0.43958374759726915,0.826148992947835,9569,3695,3874,13036,0.2785735826296743,0.7214264173703256,0.22909520993494972
ElasticNet,4,49,60,60,0.17448796977530323,0.8594313576823246,1574,3691,579,24330,0.7010446343779677,0.2989553656220323,0.023244610381789713
ElasticNet,5,61,35,35,0.438258103002585,0.8223699758372638,9323,3901,3874,13076,0.29499395039322446,0.7050060496067756,0.22855457227138642
ElasticNet,5,61,60,60,0.17246636176840988,0.8560055194596313,1444,3760,556,24414,0.722521137586472,0.27747886241352804,0.022266720064076893
RandomForest,1,11,35,35,0.4342148869887983,0.8274591614428326,9194,3908,3711,13361,0.29827507250801405,0.701724927491986,0.2173734770384255
RandomForest,1,11,60,60,0.17220123284947306,0.8580216641452793,1539,3657,547,24431,0.703810623556582,0.29618937644341803,0.02189927135879574
RandomForest,2,23,35,35,0.4381918207728508,0.8283243280126671,9412,3810,3605,13347,0.2881561034639238,0.7118438965360763,0.21265927324209533
RandomForest,2,23,60,60,0.17226751507920726,0.8529522007922526,1463,3735,629,24347,0.7185455944594075,0.28145440554059253,0.02518417680973735
RandomForest,3,37,35,35,0.43935175979319946,0.8342857512566769,9367,3890,3504,13413,0.29342988609791054,0.7065701139020895,0.20712892356800852
RandomForest,3,37,60,60,0.17269834957247962,0.8614009182640394,1552,3659,574,24389,0.7021684897332565,0.2978315102667434,0.022994031166125865
RandomForest,4,49,35,35,0.43958374759726915,0.830705721644925,9438,3826,3600,13310,0.2884499396863691,0.7115500603136309,0.21289178001182732
RandomForest,4,49,60,60,0.17448796977530323,0.8608504796013996,1554,3711,532,24377,0.7048433048433048,0.2951566951566952,0.02135774218154081
RandomForest,5,61,35,35,0.438258103002585,0.8269501572183944,9259,3965,3593,13357,0.2998336358136721,0.7001663641863279,0.21197640117994102
RandomForest,5,61,60,60,0.17246636176840988,0.8571291352851709,1435,3769,538,24432,0.7242505764796311,0.27574942352036896,0.02154585502603124
