feature,coef,abs_coef
sleepdificulty_risk,5.2452937527848915,5.2452937527848915
health_risk,3.3886509967499436,3.3886509967499436
schoolpressure_risk,3.0074167364539934,3.0074167364539934
sex_risk,2.026687219689477,2.026687219689477
beenbullied_risk,1.7317149627290471,1.7317149627290471
talkfather_risk,1.69004158925015,1.69004158925015
likeschool_risk,1.667206313542323,1.667206313542323
talkmother_risk,1.5087840913376112,1.5087840913376112
bodyimage_risk,1.3867197219456253,1.3867197219456253
famtalk_risk,1.2704007428494835,1.2704007428494835
sex_x_sleep,0.9862662481351329,0.9862662481351329
studaccept_risk,0.963065798472263,0.963065798472263
physact_risk,0.9042813953093682,0.9042813953093682
studhelpful_risk,0.872240379786502,0.872240379786502
breakfast_risk,0.8642858240462102,0.8642858240462102
famsup_risk,0.7665364013766629,0.7665364013766629
teacheraccept_risk,0.714730903489463,0.714730903489463
friendcounton_risk,0.5921685732552573,0.5921685732552573
teachertrust_risk,0.4381526771694156,0.4381526771694156
famdec_risk,-0.31813804148524183,0.31813804148524183
teachercare_risk,-0.031059115242123122,0.031059115242123122
drunk_risk,0.004909683398913748,0.004909683398913748
