feature,mean_coef,mean_abs_coef,selected_in_runs,selection_rate
sleepdificulty_risk,5.0129452783742,5.0129452783742,5,1.0
health_risk,2.6280953212745066,2.6280953212745066,5,1.0
family_support_score,2.6022860149491085,2.6022860149491085,5,1.0
school_pressure_belonging_score,2.5116038676518695,2.5116038676518695,5,1.0
schoolpressure_risk,2.3483108257185092,2.3483108257185092,5,1.0
sleep_health_score,2.220370983405477,2.220370983405477,5,1.0
teacher_support_score,1.8617235905369274,1.8617235905369274,5,1.0
beenbullied_risk,1.75178224210687,1.75178224210687,5,1.0
talkfather_risk,1.6209151083120976,1.6209151083120976,5,1.0
famdec_risk,-1.037437019850348,1.037437019850348,5,1.0
famtalk_risk,0.7899183716465921,0.7899183716465921,5,1.0
teachercare_risk,-0.7625756463209268,0.7625756463209268,5,1.0
talkmother_risk,0.6451792237876943,0.6451792237876943,5,1.0
likeschool_risk,0.5173874931196958,0.5173874931196958,5,1.0
studaccept_risk,0.3573379187055804,0.3573379187055804,5,1.0
famsup_risk,0.13926222463276433,0.13926222463276433,5,1.0
teachertrust_risk,-0.06572139419402823,0.10323134790081241,5,1.0
teacheraccept_risk,-0.0889849600044569,0.11738671609749729,4,0.8
peer_harm_score,0.006903064047207944,0.006903064047207944,3,0.6
studhelpful_risk,-0.015742285533354904,0.02988801920645682,2,0.4
