feature,mean_importance,std_importance
sleepdificulty,0.1690181724019212,0.0013540459461630875
headache,0.10086117085389232,0.0009284804669832621
dizzy,0.06768504348887723,0.0012176967456818243
health,0.051253077090620894,0.0012536916622049746
stomachache,0.04421406319698125,0.0011440714505517467
talkfather,0.03335794506470304,0.001568652593429498
schoolpressure,0.03309734894022652,0.0004724865516854228
famtalk,0.026472240328361023,0.0013975102278779203
backache,0.02019487064667325,0.00029389032955386683
countryno,0.01786068009079141,0.00017400540691175413
famsup,0.016106973071493964,0.0004423240277800591
emcsocmed8,0.015889858048434312,0.0008639582474680192
talkmother,0.015718788462185412,0.000926926046712347
studaccept,0.015001457835449516,0.0003281279362706804
age,0.01484131534488474,0.00015133767544490598
bodyheight,0.013532695154199265,5.9647270594015985e-05
likeschool,0.013292795111171896,0.0005928673142833915
bodyweight,0.01295862566888643,0.00015977844190269183
physact60,0.011052390061803016,6.265510976726783e-05
IRFAS,0.010890602698655659,0.00011403508377831224
monthbirth,0.010864937173169525,7.41177161611126e-05
studhelpful,0.008678688397208522,0.00023635181146970105
sweets_2,0.008333718678536998,8.433747765439442e-05
timeexe,0.008319428893053834,6.9180020073426e-05
softdrinks_2,0.008067618872253123,4.487235398046707e-05
friendhelp,0.007661827339691107,0.00011974389411770637
friendcounton,0.00758091311684721,0.00013665439474532304
fruits_2,0.007449780776800542,6.559488282918544e-05
teachertrust,0.007293132865009766,0.0001464344582148646
vegetables_2,0.007291207049431326,3.887747900330775e-05
beenbullied,0.00718656163945669,0.00017382770145522102
breakfastwd,0.007025287286973779,8.25772972614574e-05
sex,0.0069701123752500165,0.00019510557755002836
emconlfreq4,0.0067768868848298745,3.895157053856193e-05
fmeal,0.006759522201092508,4.570418269209926e-05
teacheraccept,0.006739823022488299,0.00012893100552588242
fasholidays,0.006557703677856605,0.00011522484289050779
thinkbody,0.006450922554295041,0.00012740202186347838
alcltm,0.006399386828304818,9.788564385021121e-05
famdec,0.006333678469912532,0.00011989293586497744
friendtalk,0.006318942445292223,5.946051803873666e-05
emconlfreq2,0.006147619307261204,7.546287265850262e-05
emconlfreq3,0.006123469917642839,5.860077063151058e-05
emconlfreq1,0.005957951774291989,5.412638955943716e-05
famhelp,0.005771871734057507,0.00010988533136821994
teachercare,0.005549205640735901,3.765666623331545e-05
friendshare,0.00553886676205074,2.3585447131830485e-05
studtogether,0.00546559790211001,7.506332416674871e-05
emconlpref2,0.00545118717323644,8.194511808168281e-05
emconlpref3,0.005117274693202768,5.8333984492121443e-05
emconlpref1,0.005106775789709734,4.455707547992611e-05
fight12m,0.0048757008643659115,4.230377591700778e-05
injured12m,0.004589645962682818,6.602251953158221e-05
fascomputers,0.004177687935947145,2.1114600256593923e-05
fasfamcar,0.0036221735449450537,6.392332119994065e-05
smokltm,0.0035069540055701585,6.391828474268736e-05
yearbirth,0.0032112888688333673,3.5240587715946684e-05
toothbr,0.003107089203638236,3.5580294889458204e-05
cbeenbullied,0.0030766335160197973,0.00011956240259329203
fasbathroom,0.0030472898228152572,1.6561351107474535e-05
bulliedothers,0.002771430911769031,6.341141164151369e-05
drunkltm,0.002354780886577544,4.480745519956406e-05
breakfastwe,0.0023348634373642997,3.1338880891571963e-05
alc30d_2,0.002289610465610787,3.0282543885814243e-05
fatherhome1,0.002237282623205667,4.813643117404015e-05
grade,0.002222368662377463,5.2345173404216246e-05
emcsocmed4,0.00221067271483536,3.7122279050197406e-05
fasdishwash,0.00210768065898713,9.847208604988146e-06
IRRELFAS_LMH,0.002089837129253369,1.0432398506585272e-05
emcsocmed6,0.0020720839220052935,8.03125938863488e-05
emcsocmed3,0.0020517801126797033,2.7248352915994318e-05
fasbedroom,0.0019916187037527693,4.1531062717533104e-05
emcsocmed9,0.0018392850288335607,3.896565247153986e-05
employmo,0.0017877743956657393,2.0684977565624912e-05
emcsocmed1,0.0016737472438805232,1.9082714886485036e-05
smok30d_2,0.0016230270631239327,5.795802656985856e-05
emcsocmed2,0.0015728744383663,4.084429676554531e-05
talkstepfa,0.0015429154154004685,1.46491219702161e-05
IOTF4,0.0012954830207269866,1.9425610761562932e-05
emcsocmed7,0.0012863635887086465,1.493461906149878e-05
emcsocmed5,0.0012846752472995024,3.186580823803159e-05
elsehome1_2,0.0012838083687228313,1.4341766042478456e-05
cbulliedothers,0.0012513684209760623,4.8648808889380044e-05
employfa,0.001222132128704786,2.5982770318378156e-05
talkstepmo,0.0012045043176315466,1.85391112399166e-05
agecat,0.0010104784568377427,1.5439985904732083e-05
oweight_who,0.0007524051665416066,1.8737297920847674e-05
employnotmo,0.000724994825813928,2.70859149920231e-05
drunk30d,0.0006309434274830324,6.508004292301499e-06
cannabisltm_2,0.0005924357978372441,1.22199827980899e-05
motherhome1,0.0005189142605285836,2.6010993000376038e-05
hadsex,0.00045206236965678916,5.743356299737063e-06
contraceptcondom,0.0003948343172272684,1.910061730726939e-05
agesex,0.0003945643602325355,2.1442304893910082e-05
employnotfa,0.0003703010920869792,1.2851189399571675e-05
stepfahome1,0.00031827583692596334,1.4514917799397775e-05
cannabis30d_2,0.00022103451214151556,9.651868354509739e-06
contraceptpill,0.00011363752569053397,1.3142621617786978e-05
stepmohome1,7.435063994648886e-05,7.001173975063821e-06
fosterhome1,2.4319977507018386e-05,4.573308888219084e-06
