model,run,seed,train_r2,test_r2,train_rmse,test_rmse,train_mae,test_mae
ElasticNet,1,11,0.5128344316062251,0.5102820684273818,15.245737099828395,15.316306147750964,12.00799855884148,12.056849941669514
ElasticNet,2,23,0.5137975559942908,0.5062312533763063,15.239429861304018,15.343983640655845,12.014546622839742,12.030391839642563
ElasticNet,3,37,0.5115403042154505,0.5151859149263119,15.266131125370674,15.238798390361843,12.020477201485068,12.023501729570663
ElasticNet,4,49,0.5100304986871146,0.5212641002343785,15.284687284128697,15.162140073720476,12.039995304843405,11.938539638181165
ElasticNet,5,61,0.5139216393632854,0.5054909702758517,15.24898569446803,15.309130688791774,12.01535893622064,12.024000858664825
RandomForest,1,11,0.8060933513911698,0.5157005699657499,9.618480827428765,15.23133654858735,7.4310491830648315,12.012176887325234
RandomForest,2,23,0.8064974503190674,0.5088821146472357,9.613986248299321,15.302740132201636,7.436991174447289,11.99875994535964
RandomForest,3,37,0.8054793847836597,0.5212233641673888,9.633795834928243,15.143615819619287,7.447131006722393,11.94476632836838
RandomForest,4,49,0.8051045368047077,0.5242997645768015,9.639908211759847,15.113992060565073,7.455464261572164,11.897973317948667
RandomForest,5,61,0.8067493483308433,0.508241152808816,9.614978043026012,15.266500925910183,7.433672826498013,12.011007828268928
